dialog_act,utterance,prediction
inform,vietnamese food,inform
no dialog,noise,no dialog
negate,no,negate
no dialog,unintelligible,no dialog
no dialog,unintelligible,no dialog
affirm,yes,affirm
request,whats the phone number,request
inform,serving christmas food,inform
no dialog,sil,no dialog
affirm,yes,affirm
request,what are the price ranges available,request
inform,moderate,inform
inform,any price range,inform
inform,indonesian food,inform
affirm,yes,affirm
inform,indian food,inform
inform,european food,inform
inform,doesnt matter,inform
inform,dont care,inform
reqalts,is there anything else,reqalts
request,what is the area,request
request,what is their phone number,request
inform,im looking for a restaurant in the center and it should serve swedish food,inform
inform,swedish food,inform
inform,i am looking for a restaurant in the center,inform
inform,catalan food,inform
inform,a restaurant in the center,inform
inform,italian food in the center,inform
request,price range,request
inform,asian oriental,inform
inform,im looking for a restaurant in the east part of town that serves spanish food,inform
inform,spanish food,inform
inform,chinese food,inform
request,signature dish,request
inform,doesnt matter,inform
inform,any part,inform
thankyou,thank you good bye,thankyou
inform,expensive restaurant,inform
inform,the west,inform
inform,east,inform
inform,any,inform
inform,scandinavian food,inform
inform,asian,inform
negate,no,negate
affirm,yes,affirm
thankyou,thank you,thankyou
affirm,yes can i get an expensive restaurant in the south part of town,affirm
reqalts,anything else,reqalts
inform,the food,inform
thankyou,thank you good bye,thankyou
inform,im looking for cheap polynesian food,inform
affirm,correct,affirm
no dialog,sil,no dialog
request,what is the phone number,request
request,what is the phone number,request
inform,eritrean food,inform
no dialog,im looking,no dialog
reqalts,is there anything else,reqalts
request,what is the address,request
inform,international food,inform
request,what is the price range,request
inform,east,inform
request,phone number,request
no dialog,sil,no dialog
negate,no,negate
inform,north,inform
inform,i dont care,inform
request,what is the address and phone number,request
affirm,yes,affirm
inform,chinese,inform
request,address,request
no dialog,unintelligible,no dialog
reqalts,how about the center of town,reqalts
no dialog,unintelligible,no dialog
no dialog,unintelligible,no dialog
inform,i would like to find a restaurant in any area serving international food,inform
inform,cheap,inform
inform,west,inform
request,address,request
request,phone number,request
thankyou,thank you good bye,thankyou
no dialog,sil,no dialog
no dialog,sil,no dialog
request,post code,request
thankyou,thank you good bye,thankyou
inform,i want to find an expensive restaurant,inform
no dialog,unintelligible,no dialog
reqalts,how about canape,reqalts
inform,canapes,inform
inform,indian food,inform
no dialog,tape,no dialog
inform,im looking for a moderately priced restaurant in the east part of town,inform
request,whats the address,request
thankyou,thank you good bye,thankyou
request,whats the phone number,request
thankyou,noise thank you goodbye,thankyou
request,what is the address,request
request,uh address,request
reqalts,how about a gastropub,reqalts
inform,any,inform
request,whats the post code,request
request,phone number please,request
request,address,request
thankyou,thank you good bye,thankyou
no dialog,im done,no dialog
thankyou,thank you,thankyou
thankyou,thank you good bye,thankyou
inform,id like an expensive restaurant in the east part of town,inform
request,what is the phone number,request
affirm,yes,affirm
reqalts,is there anything else,reqalts
inform,hungarian,inform
inform,british feed,inform
thankyou,thank you good bye,thankyou
inform,im looking for traditional food,inform
affirm,correct,affirm
no dialog,okay,no dialog
thankyou,uh thank you,thankyou
thankyou,thank you good bye,thankyou
no dialog,noise,no dialog
inform,west,inform
request,can i have the address and phone number,request
inform,i dont care,inform
thankyou,thank you good bye,thankyou
inform,catalan food,inform
inform,uh mediterranean food,inform
inform,uh center,inform
inform,east,inform
inform,i dont care,inform
inform,im looking for a romanian restaurant,inform
inform,im looking for an expensive restaurant in the south part of town,inform
request,may i have the address,request
inform,i dont care,inform
thankyou,thank you good bye,thankyou
inform,japanese,inform
no dialog,i would like,no dialog
request,what is the address,request
inform,i want thai food,inform
bye,okay forget it goodbye,inform
no dialog,sil,no dialog
no dialog,cough,no dialog
inform,i want a restaurant in the north part of town that serves swiss food,inform
thankyou,thank you good bye,thankyou
inform,im looking an expensive dr expensive restaurant that serves canapes food,inform
reqalts,how about ah one that serves asian oriental,reqalts
affirm,yes,affirm
request,ah where is it,request
reqalts,do you have anything else,reqalts
inform,doesnt matter,inform
inform,i dont care,inform
request,phone number,request
affirm,yes,affirm
bye,okay good bye,bye
inform,it doesnt matter,inform
bye,good bye,bye
reqalts,how about british food,reqalts
inform,cheap price range,inform
inform,jamcian food,inform
request,can i get the phone number,request
inform,it doesnt matter,inform
thankyou,thank you good bye,thankyou
request,what is the phone number,request
thankyou,thank you good bye,thankyou
inform,spanish,inform
request,location,request
reqalts,anything else,reqalts
request,whats the address,request
no dialog,thats all i need,no dialog
confirm,does it serve vietnamese type of food,confirm
inform,can i have a restaurant in the center,inform
inform,can i have a restaurant in the center,inform
inform,can i have irish food,inform
inform,what about irish food,reqalts
affirm,yes,affirm
reqalts,how about korean food,reqalts
thankyou,thank you good bye,thankyou
inform,dont care,inform
reqalts,is there anything else,reqalts
thankyou,thank you good bye,thankyou
inform,anything,inform
no dialog,looking for a,inform
inform,eritrean,inform
negate,no eritrean,negate
inform,eritrean,inform
inform,okay uh spanish food,inform
thankyou,thank you good bye,thankyou
inform,im looking for a cheap restaurant that serves welsh food,inform
reqalts,how about mediterranean food,reqalts
inform,mediterranean food,inform
inform,spanish food,inform
inform,im looking for a moderately priced restaurant,inform
thankyou,thank you good bye,thankyou
request,what type of food,request
request,what kind of food,request
thankyou,thank you good bye,thankyou
inform,i want indian food,inform
inform,indian food west part of town,inform
request,what type of food,request
thankyou,thank you good bye,thankyou
inform,spanish food,inform
negate,no,negate
inform,portuguese,inform
request,okay show me the address,request
inform,cheap restaurant,inform
request,what type of food do they serve,request
request,whats their post code,request
thankyou,okay thank you good bye,thankyou
no dialog,breathing,no dialog
inform,uh any,inform
request,whats the phone number,request
inform,danish,inform
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
inform,world food,inform
request,part of town,request
inform,vietnamese,inform
request,whats the post code,request
thankyou,thank you good bye,thankyou
inform,mediterranean food,inform
reqalts,is there anything else,reqalts
request,can i have the address,request
no dialog,noise,no dialog
inform,i want an indian food restaurant moderate priced,inform
reqalts,how about asian oriental food,reqalts
inform,it doesnt matter,inform
request,can i have the phone number,request
reqalts,how about a restaurant in the west part of town serving vietnamese food,reqalts
request,whats the phone number,request
no dialog,noise,no dialog
request,address,request
inform,dont care,inform
inform,dont care,inform
no dialog,done,no dialog
no dialog,finished,no dialog
negate,no,negate
inform,looking for a cheap restaurant east part of town,inform
reqalts,anything else,reqalts
inform,i dont care,inform
request,whats the price range,request
affirm,yes,affirm
inform,cheap,inform
request,what is the address,request
affirm,yes,affirm
request,post code,request
inform,west,inform
affirm,yes,affirm
request,phone number,request
bye,good bye,bye
inform,any restaurants,inform
inform,any food,inform
inform,im looking for a moderately priced restaurant in the north part of town,inform
request,what is the phone number,request
request,what is the address and phone number,request
confirm,is it moderately priced,confirm
inform,any,inform
no dialog,incorrect,no dialog
no dialog,is there,no dialog
inform,i dont care,inform
no dialog,noise,no dialog
reqalts,how about indian food,reqalts
request,and the phone number,request
request,and the price range,request
inform,chinese food,inform
inform,cheap,inform
affirm,yes,affirm
request,phone number,request
inform,im looking for a cheap restaurant in the west part of town,inform
request,whats the address phone number and type of food,request
no dialog,noise,no dialog
inform,enlish,no dialog
inform,german food in the centre of town,inform
inform,center of town,inform
inform,singapore,inform
inform,i want italian food,inform
inform,expensive restaurant breath,inform
inform,east,inform
affirm,yea you can give me the address,affirm
inform,i need a moderately priced restaurant in the south part of town,inform
inform,it doesnt matter,inform
inform,uh italian food,inform
inform,im looking for an italian restaurant,inform
request,phone number,request
inform,any,inform
no dialog,noise,no dialog
request,phone number,request
request,okay whats their address,request
reqalts,how about vietnamese food,reqalts
reqalts,how about vietnamese food,reqalts
inform,scottish,inform
inform,european food,inform
request,may i have their phone number please,request
inform,im looking for a cheap restaurant,inform
inform,portuguese food,inform
inform,i dont care,inform
inform,im looking for a restaurant in the south part of town and it should serve scandinavian food,inform
reqalts,what about chinese in the south part of town,inform
inform,chinese food,inform
thankyou,thank you good bye,thankyou
inform,indian restaurant,inform
affirm,yes,affirm
request,and what is the address,request
thankyou,okay thank you good bye,thankyou
inform,uh im looking for an expensive restaurant in the east part of town,inform
reqalts,another one,reqalts
bye,okay good bye,bye
request,whats the address,request
negate,no thank you good bye,negate
inform,traditional food,inform
thankyou,thank you good bye,thankyou
no dialog,noise,no dialog
request,phone number,request
thankyou,thank you good bye,thankyou
inform,moderate,inform
request,any price rage,request
reqalts,is there anything else,reqalts
inform,i dont care,inform
thankyou,thank you good bye,thankyou
inform,any,inform
request,may i have the address pleas,request
request,and the price range,request
reqalts,what about north american food,reqalts
request,what is the phone numbere,request
bye,bye,bye
reqalts,what about thai food,reqalts
inform,moderately,inform
inform,im looking for a restaurant in the west part of town,inform
affirm,yes,affirm
confirm,is there a thai restaurant,confirm
inform,expensive french restaurant,inform
inform,any kind,inform
request,phone number,request
inform,want one that serves international food,inform
affirm,yes,affirm
inform,moderate,inform
no dialog,i need the nor,no dialog
bye,bye,bye
request,the area of the venue,request
inform,north,inform
confirm,is it moderately priced,confirm
thankyou,okay thank you good bye,thankyou
inform,a cheap restaurant and it should be in the west part of town,inform
request,whats the address,request
request,and phone number,request
inform,portuguese food,inform
inform,cheap,inform
inform,italian food,inform
inform,looking for a restaurant in the center that serves vegetarian food,inform
reqalts,how about oriental type of food,reqalts
affirm,correct,affirm
thankyou,thank you good bye,thankyou
reqalts,how about european type food,reqalts
bye,okay good bye,bye
thankyou,thank you,thankyou
inform,i want to find chinese food,inform
no dialog,noise,no dialog
thankyou,thank you,thankyou
inform,thai food,inform
inform,afghan food,inform
thankyou,thank you good bye,thankyou
inform,cheap,inform
affirm,yes,affirm
inform,south,inform
inform,im looking for a cheap restaurant in the east part of town,inform
no dialog,sil,no dialog
request,whats the address,request
thankyou,thank you good bye,thankyou
inform,international food,inform
request,could i have the phone number and post code please,request
reqalts,how about mediterranean food,reqalts
inform,mediterranean food,inform
inform,moderate,inform
request,what is the phone number,request
request,can i have the address,request
inform,i need an expensive restsurant in the east part of town,inform
request,address,request
inform,any type of food,inform
thankyou,thank you good bye,thankyou
hello,hello,hello
request,whats the phone number talking,request
no dialog,background_speech,no dialog
no dialog,background_speech,no dialog
inform,north creative,inform
request,address,request
thankyou,thank you good bye,thankyou
inform,im looking for a moderately priced restaurant in the west part of town,inform
request,whats the address,request
inform,dont care,inform
inform,moderate,inform
request,can i get the phone number,request
request,phone number,request
reqalts,how about european food,reqalts
thankyou,thank you good bye,thankyou
inform,breath id like a moderately priced restaurant that serves thai food,inform
inform,thai food,inform
affirm,yes serving chinese food,affirm
request,can i have their address,request
inform,it doesnt matter,inform
thankyou,thank you good bye,thankyou
thankyou,thank you,thankyou
negate,no,negate
affirm,yes,affirm
no dialog,noise,no dialog
reqalts,um what about chinese,reqalts
inform,any,inform
inform,east,inform
request,can i have the address please,request
request,what is the address and phone number,request
inform,any kind,inform
request,what is the address,request
affirm,yes,affirm
inform,turkish food,inform
no dialog,i would like,no dialog
no dialog,you tell me,no dialog
request,whats the address,request
affirm,yes,affirm
negate,no,negate
request,address,request
inform,um im looking for an expensive restaurant,inform
inform,south part,inform
inform,im looking for an expensive restaurant,inform
inform,im looking for an expensive restaurant,inform
inform,and it should be in the south part of town,inform
thankyou,thank you goodbye,thankyou
affirm,yeah,affirm
request,can i get the address,request
inform,im looking for a moderate priced restaurant serving jamaican food,inform
reqalts,how about asian oriental type of food,reqalts
inform,asian oriental type of food,inform
affirm,yes,affirm
request,can i have the phone number,request
request,phone number,request
reqalts,how about spanish,reqalts
no dialog,noise,no dialog
affirm,yes,affirm
inform,an expensive restaurant in the south part of town,inform
inform,any type,inform
request,address,request
inform,steak house food noise steak house food,inform
request,can i have the phone number,request
bye,thank you good bye thank you good bye,thankyou
inform,any type,inform
inform,cheap,inform
inform,seafood,inform
inform,seafood,inform
inform,seafood,inform
inform,seafood,inform
no dialog,sea,no dialog
negate,no,negate
inform,seafood,inform
inform,im looking for a restaurant in the east part of town,inform
inform,indonesian,inform
request,what is the phone number,request
request,whats the address,request
thankyou,thank you good bye,thankyou
affirm,yes,affirm
inform,moderate,inform
affirm,yes,affirm
request,phone number,request
no dialog,noise,no dialog
no dialog,noise,no dialog
inform,oriental food,inform
inform,asian oriental food,inform
reqalts,how about indian food,reqalts
negate,no indian,negate
reqalts,how about indian food,reqalts
request,what is the address,request
affirm,yes,affirm
affirm,yes,affirm
inform,north side,inform
request,whats its address,request
thankyou,uh thank you and goodbye,thankyou
negate,no,negate
reqalts,what about chinese food,reqalts
thankyou,thank you good bye,thankyou
no dialog,unintelligible,no dialog
inform,asian food,inform
inform,french food any french food,inform
inform,doesnt matter,inform
affirm,yes,affirm
bye,goodbye,bye
no dialog,sil,no dialog
no dialog,sil,no dialog
inform,moderate,inform
thankyou,thank you good bye,thankyou
inform,restaurant in the south part of town serving turkish food,inform
affirm,yes,affirm
request,address,request
request,price range,request
thankyou,thank you good bye,thankyou
request,address,request
inform,i am looking for a moderately priced restaurant that serves russian food,inform
inform,i am looking for a moderately priced restaurant that serves russian food,inform
inform,russian,inform
inform,food,inform
request,what type of food do they serve,request
inform,russian food,inform
inform,chinese foo,no dialog
inform,chinese foo,no dialog
thankyou,thank you good bye,thankyou
inform,japanese food,inform
inform,japanese food,inform
inform,south,inform
inform,brazilian,inform
affirm,yes,affirm
inform,any,inform
thankyou,thank you good bye,thankyou
inform,romanian food,inform
inform,vietnamese,inform
thankyou,thank you good bye,thankyou
inform,expensive,inform
request,whats its address,request
inform,world,inform
inform,vietnam,inform
affirm,yes,affirm
request,address,request
reqalts,how about international food,reqalts
inform,indian indian food in the east part of town,inform
inform,dont care,inform
request,the address,request
request,the phone number,request
inform,find spanish restaurant,inform
inform,indonesian,inform
inform,asian restaurant,inform
inform,doesnt matter,inform
request,address,request
inform,any,inform
request,and what is the address,request
request,address,request
request,phone number,request
inform,im looking for a restaurant in any area that serves cantonese food,inform
affirm,yea,affirm
reqalts,how about gastropub food,reqalts
inform,gastropub type of food,inform
inform,that serves gastropub,inform
request,may i have the address,request
inform,im looking for turkish food,inform
inform,i dont care,inform
request,whats the address,request
inform,any,inform
thankyou,thank you good bye,thankyou
inform,i would like a restaurant in the west part of town that serves russian food,inform
inform,russian food,inform
thankyou,thank you good bye,thankyou
inform,uh it does i dont care,inform
request,whats the post code,request
reqalts,how about chinese,reqalts
request,what price range is it,request
inform,what about the center area,reqalts
affirm,yes,affirm
request,post code,request
request,postcode,request
thankyou,thank you goodbye,thankyou
request,tasty then whats the phone number,request
negate,no,negate
request,address,request
request,address,request
reqalts,how about cheap portuguese food,reqalts
negate,no,negate
inform,i want a jamaican food restaurant in the center part of town,inform
inform,i dont care,inform
request,can i get the address,request
thankyou,thank you goodbye,thankyou
request,what is the address,request
thankyou,thank you good bye,thankyou
inform,doesnt matter,inform
request,can i get the address and post code,request
inform,gastro pub,inform
request,address,request
thankyou,thank you good bye,thankyou
inform,i dont care,inform
reqalts,is there anything else,reqalts
thankyou,thank you good bye,thankyou
inform,id like a cheap restaurant on the south of town,inform
request,what is the post code,request
inform,english food,inform
request,whats the phone number of burger kitchen,request
request,and the type of food at gourmet burger kitchen,inform
inform,uh expensive,inform
reqalts,another restaurant,reqalts
inform,uh italian,inform
inform,west,inform
inform,moderate,inform
thankyou,thank you good bye,thankyou
request,address,request
reqalts,how about vietnamese food,reqalts
request,may i have the phone number please,request
request,phone number,request
negate,no,negate
no dialog,pizza,no dialog
request,what is the address and phone and postal code,request
request,area,request
inform,im looking for a restaurant in any area,inform
reqalts,how about modern european food,reqalts
thankyou,thank you good bye,thankyou
thankyou,breath thank you goodbye,thankyou
inform,doesnt matter,inform
affirm,yes,affirm
reqalts,is there anything else,reqalts
inform,im looking for a restaurant in the north of town serving french type of food,request
inform,chinese,inform
request,what is the address and postcode,request
thankyou,thank you goodbye,thankyou
reqalts,um how about european food,reqalts
thankyou,thank you good bye,thankyou
request,postcode,request
inform,cheap restaurant,inform
inform,i would like chinese food,inform
request,what is the address and post code,request
request,what is the phone number,request
inform,north,inform
inform,north,inform
inform,steakhouse,inform
inform,european food,inform
request,address,request
thankyou,thank you good bye,thankyou
inform,singaporean,inform
reqalts,how about vietnamese,reqalts
inform,vietnamese food,inform
request,whats the telephone number,request
request,what is the address,request
inform,im looking for a restaurant on the east part of town that serves scandinavia food,inform
reqalts,how about chinese,reqalts
inform,doesnt matter,inform
affirm,yes,affirm
inform,british food,inform
affirm,yes,affirm
no dialog,okay,no dialog
thankyou,thank you good bye,thankyou
negate,no,negate
inform,moderately priced restaurant,inform
inform,serves halal food,inform
inform,halal,inform
inform,halal food,inform
inform,asian oriental food,inform
affirm,yes,affirm
request,and phone nubmer,no dialog
no dialog,unintelligible,no dialog
request,address,request
thankyou,thank you good bye,thankyou
reqalts,how about indian food,reqalts
inform,i want christmas food,inform
thankyou,thank you goodbye,thankyou
thankyou,thank you goodbye,thankyou
thankyou,thank you goodbye,thankyou
no dialog,sil,no dialog
inform,the turkiesh food,inform
inform,turkey food,inform
inform,restaurant,inform
inform,turkiesh food,inform
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
bye,good bye,bye
reqalts,okay how about a gastropub,reqalts
bye,okay thank you and good bye,bye
thankyou,thank you good bye,thankyou
inform,im looking for a cheap restaurant in the west part of town,inform
inform,im looking for a korean restaurant in the expensive price range,inform
thankyou,thank you good bye,thankyou
inform,any kind of food id like a cheap restaurant,inform
affirm,yes,affirm
request,can i get their address and phone number,request
request,may i have the address,request
inform,expensive restaurant in the east part of town,inform
inform,any,inform
request,may i have the phone number,request
thankyou,thank you good bye,thankyou
inform,cheap restaurant south part of town,inform
inform,any type,inform
inform,food type,inform
inform,any,inform
inform,spanish,inform
affirm,yes in the west part of town,affirm
inform,im looking for a restaurant that serves african food,inform
request,whats the address,request
request,what is the phone number,request
bye,bye,bye
inform,dont care,inform
inform,any,inform
request,address,request
request,phone number,request
thankyou,thank you good bye,thankyou
no dialog,sil,no dialog
inform,lebanese food,inform
thankyou,thank you good bye,thankyou
inform,im looking for world food,inform
inform,i dont care,inform
request,whats the post code,request
inform,i dont care,inform
no dialog,sil,no dialog
request,may i have the address,request
no dialog,how about the,no dialog
no dialog,cough,no dialog
no dialog,unintelligible,no dialog
request,oh whats the phone number,request
inform,what about modern european,inform
request,whats the phone number,request
thankyou,thank you good bye,thankyou
inform,i want to find a cheap restaurant and it should serve scandinavian food,inform
no dialog,okay is there,confirm
request,address,request
request,address,request
no dialog,noise,no dialog
negate,no,negate
no dialog,what,no dialog
inform,east,inform
inform,i am looking for an expensive restaurant that serves,inform
request,whats the address,request
inform,east noise,inform
request,whats the address,request
inform,venetian food,inform
thankyou,thank you goodbye,thankyou
inform,i need a cuban restaurant that is moderately priced,inform
thankyou,thank you good bye,thankyou
inform,uh doesnt matter,inform
inform,international food,inform
bye,okay thank you and good bye,bye
reqalts,is there any thing else,reqalts
request,can i have the address,request
negate,no,negate
inform,korean,inform
affirm,yes,affirm
request,what is the price range,request
inform,east,inform
inform,east,inform
thankyou,thank you good bye,thankyou
inform,halal food,inform
inform,asian oriental type of food,inform
no dialog,noise,no dialog
request,and phone number,request
no dialog,inaudible,no dialog
no dialog,inaudible,no dialog
request,phone number,request
request,where,no dialog
request,what area,request
request,phone number,request
reqalts,how about european food,reqalts
affirm,yes,affirm
request,phone number and address,request
inform,restaurant east,inform
inform,greek food,inform
request,address,request
inform,pan asian food,inform
inform,im looking for a moderately priced restaurant in the south part of town,inform
no dialog,unintelligible,no dialog
request,can i have the address and post code,request
inform,i dont care,inform
thankyou,thank you good bye,thankyou
inform,i dont care,inform
thankyou,thank you good bye,thankyou
affirm,yes,affirm
request,curry prince address and phone number,request
inform,east,inform
thankyou,thank you goodbye,thankyou
thankyou,thank you good bye,thankyou
request,address,request
request,telephone number,request
inform,im looking for a restaurant in the center part of town,inform
inform,hungarian food,inform
negate,no hungarian food,negate
request,what is the address,request
negate,no british food,negate
inform,afghan food,inform
reqalts,how about chinese,reqalts
request,whats the phone number,request
affirm,yes,affirm
request,whats the phone number,request
thankyou,thank you good bye,thankyou
request,area,request
thankyou,thank you good bye,thankyou
thankyou,thank you goodbye,thankyou
inform,moderate price west part of town,inform
request,address,request
thankyou,thank you good bye,thankyou
no dialog,noise,no dialog
request,address,request
thankyou,thank you good bye,thankyou
request,what area is it in,request
request,what kind of food is it,request
request,what kind of food is that,request
request,address,request
reqalts,how about french,reqalts
inform,mexican,inform
inform,uh restaurant,no dialog
request,address,request
inform,cheap jamaican,inform
request,what kind of food does it serve,request
deny,i dont want chinese,deny
inform,cheap restaurant that serves,inform
inform,im looking for an expensive restaurant in the east part of town,inform
reqalts,is there anything else,reqalts
inform,im looking for a restaurant in any area it should serve gastropub food,inform
inform,north american food,inform
inform,anything,inform
inform,jamaican food,inform
inform,chinese,inform
request,address,request
thankyou,thank you good bye,thankyou
inform,the east part of town,inform
request,what type of food,request
request,i want to find the address,request
inform,i want to find a moderately priced restaurant and it should serve asian food,inform
inform,italian food,inform
reqalts,how about persian food,reqalts
inform,what about modern european type food,inform
affirm,yes,affirm
inform,modern european,inform
request,okay can i get the address,request
reqalts,what about chinese food,reqalts
reqalts,how about chinese food,reqalts
request,can i get an address phone number and post code,request
inform,price over food west part of town,inform
inform,class over,no dialog
no dialog,unintelligible,no dialog
thankyou,thank you good bye,thankyou
inform,brazilian,inform
request,phone number,request
inform,im looking for tuscan food,inform
inform,expensive,inform
negate,no,negate
inform,restaurant in any area international food,inform
request,address,request
thankyou,thank you good bye,thankyou
request,what is their address and phone number,request
inform,north,inform
thankyou,thank you goodbye noise,thankyou
request,may i have the address and the phone number,request
request,phone number,request
request,phone number,request
no dialog,sil,no dialog
request,and whats their phone number,request
thankyou,thank you good bye,thankyou
inform,in the north part of town,inform
affirm,yes,affirm
request,what is the address and the type of food,request
no dialog,static,no dialog
inform,oh i need to be in the north,inform
inform,any kind,inform
inform,doesnt matter,inform
inform,i dont care,inform
inform,it doesnt matter,inform
request,what is the phone number,request
hello,hi im looking for mexican food,hello
negate,no im looking for pan asian,negate
reqalts,how about asian oriental,reqalts
affirm,right,affirm
inform,oriental,inform
reqalts,what about asian oriental,reqalts
request,what type of food do they ser,request
request,the address,request
request,what type of food do they ser,request
inform,moderate,inform
inform,gastropub,inform
thankyou,thank you good bye,thankyou
request,postcode,request
thankyou,thank you goodbye,thankyou
thankyou,thank you goodbye,thankyou
no dialog,moder,no dialog
request,what is the address,request
thankyou,thank you good bye,thankyou
deny,wrong,deny
reqalts,anything else,reqalts
request,address,request
request,address,request
request,what is the type of food,request
request,what is the address and phone number,request
thankyou,thank you good bye,thankyou
request,whats the phone number,request
reqalts,is there anything else,reqalts
inform,fusion food,inform
affirm,yes,affirm
inform,fancy restaurant moroccan food,inform
inform,european,inform
inform,european food,inform
thankyou,thank you goodbye,thankyou
request,type of food,request
request,type of food do they serve,request
inform,indian food,inform
affirm,yes,affirm
reqalts,how about asian oriental,reqalts
affirm,right,affirm
inform,any,inform
inform,caribbean food,inform
inform,im looking for a restaurant in the north part of town,inform
request,what is the address,request
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
inform,asian oriental type of food,inform
affirm,yes,affirm
inform,it doesnt matter,inform
no dialog,sil,no dialog
request,what is the phone number,request
inform,an expensive restaurant,inform
request,and the phone number,request
affirm,yes south part of town,affirm
inform,it deosnt matter,inform
no dialog,noise,no dialog
request,post code,request
inform,any food,inform
request,ah whats the address,request
thankyou,thank you goodbye,thankyou
inform,looking for a restaurant that serves lebanese food,inform
affirm,yes,affirm
request,could i have the address,request
affirm,right,affirm
inform,barbecue food,inform
inform,indian food,inform
inform,any price range,inform
request,i need to know the phone number and price of food,request
inform,dont care,inform
inform,id like to find a cheap restaurant in the west part of town,inform
request,whats the address,request
thankyou,thank you good bye,thankyou
request,phone number,request
thankyou,thank you good bye,thankyou
no dialog,unintelligible,no dialog
inform,in the west,inform
request,what is their phone number,request
inform,international food,inform
request,phone number,request
thankyou,thank you goodbye,thankyou
inform,im looking for a moderately priced restaurant in the south part of town,inform
thankyou,thank you good bye,thankyou
no dialog,unintelligible,no dialog
no dialog,noise,no dialog
inform,unintelligible expensive,inform
no dialog,okay,no dialog
inform,im looking for an expensive restaurant that serves signaporean food,inform
request,can i get the phone number,request
inform,im looking for a restaurant in the center part of town that serves european food,inform
request,address,request
inform,english food,inform
request,phone number,request
thankyou,thank you good bye,thankyou
inform,cheap restaurant east part of town,inform
thankyou,thank you good bye,thankyou
inform,its a restaurant in the south of town that serves italian food,inform
request,could i have their phone number and post code,request
inform,i dont care,inform
inform,any,inform
inform,any,inform
thankyou,thank you good bye,thankyou
affirm,yes,affirm
request,phone number,request
inform,i want a moderately priced restaurant in the north part of town,inform
confirm,is that in the north part of town,confirm
inform,i need a cheap restaurant,inform
inform,doesnt matter,inform
affirm,yes,affirm
request,what area,request
request,what kind of food does it serve,request
thankyou,thank you good bye,thankyou
inform,irish,inform
request,what is the address and phone number and area,request
affirm,yes,affirm
inform,cheap restaurant,inform
request,whats the address,request
inform,cantonese food,inform
inform,food,inform
inform,cantonese,inform
thankyou,thank you,thankyou
no dialog,noise,no dialog
inform,i would like a cheap restaurant in the north part of town,inform
inform,do you have chinese food,inform
request,can i have the address,request
thankyou,thank you goodbye,thankyou
request,what is the address and phone number,request
no dialog,sil,no dialog
no dialog,noise,no dialog
request,address,request
inform,any,inform
thankyou,thank you good bye,thankyou
inform,north part,inform
inform,doesnt matter,inform
request,okay can i have the address,request
request,okay and the phone number please,request
thankyou,thanks goodbye,bye
inform,looking for lebanese food in the city center,inform
request,whats the price range,request
inform,can i have a moderately priced restaurant,inform
reqalts,is there any restaurant serving asian oriental food,reqalts
inform,asian oriental,inform
inform,the east part of town,inform
request,can i get the address phone number and post code,request
request,phone number,request
thankyou,okay thank you good bye,thankyou
no dialog,noise,no dialog
inform,korean food,inform
affirm,yes that serves korean food,affirm
inform,i am looking for a restaurant in the center that serves korean food,inform
request,could i have the address,request
request,could i have the address,request
inform,im looking for a moderately priced restaurant in the west part of town,inform
inform,italian food,inform
thankyou,thank you good bye,thankyou
request,could i have their address and phone number please,request
inform,that serves corsica,inform
inform,the indian food,inform
thankyou,thank you good bye,thankyou
inform,cheap,inform
no dialog,unintelligible,no dialog
inform,im looking for a cheap restaurant,inform
inform,i want to find a moderately priced restaurant in the east part town,inform
inform,i dont care,inform
inform,moderately priced,inform
request,what is the phone number,request
inform,cheap,inform
no dialog,sil,no dialog
thankyou,thank you,thankyou
inform,looking for a moderately priced restaurant that serves brazilian,inform
thankyou,thank you good bye,thankyou
request,whats the address and phone number,request
inform,i want a restaurant in the west part of town that serves australian food,inform
reqalts,how about italian,reqalts
request,address,request
request,phone number,request
inform,dont care,inform
request,address,request
affirm,yes,affirm
affirm,yes,affirm
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
inform,unintelligible food,inform
inform,cheap unintelligible food,inform
inform,unintelligible food,inform
inform,im looking for a restaurant in any area that serves russian food,inform
affirm,yes,affirm
request,can i get the address,request
request,the phone number,request
inform,expensive,inform
inform,expensive,inform
request,address,request
inform,tuscan,inform
affirm,right,affirm
inform,world food,inform
inform,i want a restaurant serving greek food,inform
inform,i want a korean restaurant,inform
request,whats their address,request
inform,yea im looking for a really cheap restaurant in the east part of town,inform
inform,any,inform
no dialog,noise,no dialog
inform,moderate restaurant kosher food,inform
no dialog,noise,no dialog
inform,chinese,inform
reqalts,next,reqalts
thankyou,okay thank you good bye,thankyou
thankyou,thank you good bye,thankyou
inform,i dont care,inform
inform,north,inform
reqalts,how about asian oriental,reqalts
reqalts,how about asian oriental,reqalts
thankyou,thank you good bye,thankyou
inform,i dont care,inform
inform,i dont care,inform
inform,polynesian food,inform
request,phone number,request
affirm,yes,affirm
request,phone number,request
request,can i get the address and phone number please,request
inform,moroccan food,inform
request,what is the address and phone number,request
request,what is the address,request
